HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
NA	engrus5626	en	ru	ad	NA	PROMT-Hybrid-Marian.5605	NA	BAD_REF	1741	-0.670981906398726	4.73500013351
NA	engrus5626	en	ru	ad	NA	online-B.0	NA	SYSTEM	1429	-0.735812610738947	3.32400012016
NA	engrus5626	en	ru	ad	NA	PROMT-Hybrid-Marian.5605	NA	SYSTEM	1144	-0.735812610738947	3.76799988747
NA	engrus5626	en	ru	ad	NA	PROMT-Rule-based.5429	NA	SYSTEM	915	-0.735812610738947	2.72799992561
NA	engrus5626	en	ru	ad	NA	PROMT-Hybrid-Marian.5605	NA	SYSTEM	1243	-0.0550902151666245	5.86599993706
NA	engrus5626	en	ru	ad	NA	PROMT-Hybrid-OpenNMT.5654	NA	BAD_REF	201	-0.768227962909057	2.34699988365
NA	engrus5626	en	ru	ad	NA	uedin.5737	NA	SYSTEM	695	1.63050809767913	12.6770000458
NA	engrus5626	en	ru	ad	NA	PROMT-Hybrid-OpenNMT.5654	NA	SYSTEM	664	-0.93030472375961	5.03399991989
NA	engrus5626	en	ru	ad	NA	Alibaba-ensemble-model.5713	NA	SYSTEM	538	-0.800643315079168	6.7380001545
NA	engrus5626	en	ru	ad	NA	PROMT-Hybrid-OpenNMT.5654	NA	SYSTEM	507	-0.735812610738947	10.748000145
NA	engrus5626	en	ru	ad	NA	REFERENCE	NA	REF	899	1.88983091504001	6.91999983788
NA	engrus5626	en	ru	ad	NA	uedin.5737	NA	SYSTEM	1518	1.76016950635957	37.4379999638
NA	engrus5626	en	ru	ad	NA	online-F.0	NA	SYSTEM	143	-0.833058667249278	8.30400013924
NA	engrus5626	en	ru	ad	NA	Alibaba-ensemble-model.5713	NA	SYSTEM	2096	1.17669316729758	14.0909998417
NA	engrus5626	en	ru	ad	NA	uedin.5737	NA	SYSTEM	1348	0.722878236916029	6.16400003433
NA	engrus5626	en	ru	ad	NA	online-B.0	NA	SYSTEM	2918	1.76016950635957	17.0700001717
NA	engrus5626	en	ru	ad	NA	PROMT-Rule-based.5429	NA	SYSTEM	2186	-0.800643315079168	10.7339999676
NA	engrus5626	en	ru	ad	NA	PROMT-Rule-based.5429	NA	SYSTEM	2948	-0.670981906398726	5.77199983597
NA	engrus5626	en	ru	ad	NA	PROMT-Hybrid-Marian.5605	NA	SYSTEM	1741	-0.800643315079168	6.40900015831
NA	engrus5626	en	ru	ad	NA	PROMT-Hybrid-Marian.5605	NA	SYSTEM	2788	1.79258485852968	80.8619999886
NA	engrus5626	en	ru	ad	NA	PROMT-Hybrid-OpenNMT.5654	NA	SYSTEM	3	0.301478658704592	7.00500011444
NA	engrus5626	en	ru	ad	NA	PROMT-Hybrid-OpenNMT.5654	NA	SYSTEM	1993	-0.670981906398726	5.79699993134
NA	engrus5626	en	ru	ad	NA	online-F.0	NA	SYSTEM	1140	-0.833058667249278	5.3149998188
