HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
NA	engfin5601	en	fi	ad	NA	uedin.5707	NA	SYSTEM	1449	-1.02616412932755	15.3840000629
NA	engfin5601	en	fi	ad	NA	talp-upc.5424	NA	BAD_REF	511	-0.95272095928531	32.8949999809
NA	engfin5601	en	fi	ad	NA	online-G.0	NA	SYSTEM	829	-1.09960729936978	15.1990001202
NA	engfin5601	en	fi	ad	NA	uedin.5707	NA	SYSTEM	1968	-0.548783524053005	10.7559998035
NA	engfin5601	en	fi	ad	NA	CUNI-Kocmi.5620	NA	BAD_REF	1578	-0.108124503799582	7.85899996758
NA	engfin5601	en	fi	ad	NA	online-G.0	NA	SYSTEM	685	0.185648176369366	20.5460000038
NA	engfin5601	en	fi	ad	NA	HY-NMT-en-fi.5570	NA	SYSTEM	1954	-0.328454013926294	12.6919999123
NA	engfin5601	en	fi	ad	NA	CUNI-Kocmi.5620	NA	REPEAT	426	0.589585611601671	8.57699990273
NA	engfin5601	en	fi	ad	NA	REFERENCE	NA	REF	1014	1.8381195023197	7.66100001335
NA	engfin5601	en	fi	ad	NA	HY-SMT-en-fi.5436	NA	REPEAT	1288	-0.43861876898965	14.4900000095
NA	engfin5601	en	fi	ad	NA	HY-AH-en-fi.5567	NA	SYSTEM	2456	0.259091346411603	6.22900009155
NA	engfin5601	en	fi	ad	NA	online-G.0	NA	SYSTEM	2933	-0.805834619200835	18.5520000458
NA	engfin5601	en	fi	ad	NA	Aalto.5550	NA	SYSTEM	804	1.06696621687621	24.2950000763
NA	engfin5601	en	fi	ad	NA	HY-SMT-en-fi.5436	NA	SYSTEM	2157	-0.732391449158598	13.2269999981
NA	engfin5601	en	fi	ad	NA	NICT.5658	NA	BAD_REF	360	-0.842556204221954	26.7449998856
NA	engfin5601	en	fi	ad	NA	online-G.0	NA	BAD_REF	2247	-1.06288571434867	21.9199998379
NA	engfin5601	en	fi	ad	NA	HY-SMT-en-fi.5436	NA	SYSTEM	2727	0.295812931432722	10.4230000973
NA	engfin5601	en	fi	ad	NA	HY-NMTtwostep-en-fi.5639	NA	REPEAT	2060	0.809915121728382	27.5299999714
NA	engfin5601	en	fi	ad	NA	HY-NMTtwostep-en-fi.5639	NA	SYSTEM	125	-1.24649363945426	6.73000001907
NA	engfin5601	en	fi	ad	NA	HY-SMT-en-fi.5436	NA	SYSTEM	1381	-1.3199368094965	24.753000021
NA	engfin5601	en	fi	ad	NA	Aalto.5550	NA	SYSTEM	2253	-1.65043107468656	8.48000001907
NA	engfin5601	en	fi	ad	NA	REFERENCE	NA	REF	1529	1.8381195023197	6.44499993324
NA	engfin5601	en	fi	ad	NA	talp-upc.5424	NA	SYSTEM	1756	0.0754834213060105	9.15199995041
NA	engfin5601	en	fi	ad	NA	uedin.5707	NA	SYSTEM	1756	0.0754834213060105	9.15199995041
NA	engfin5601	en	fi	ad	NA	HY-AH-en-fi.5567	NA	SYSTEM	628	-1.65043107468656	12.6340000629
NA	engfin5601	en	fi	ad	NA	Aalto.5550	NA	SYSTEM	1137	-0.95272095928531	11.6069998741
NA	engfin5601	en	fi	ad	NA	online-G.0	NA	SYSTEM	1014	-0.108124503799582	18.618999958
NA	engfin5602	en	fi	ad	NA	HY-AH-en-fi.5567	NA	SYSTEM	2645	0.208018571697375	8.08600020409
NA	engfin5602	en	fi	ad	NA	HY-NMT-en-fi.5570	NA	SYSTEM	2591	-0.387431711776657	11.5130000114
NA	engfin5602	en	fi	ad	NA	HY-AH-en-fi.5567	NA	SYSTEM	1869	-0.625611825166269	8.4390001297
NA	engfin5602	en	fi	ad	NA	online-A.0	NA	SYSTEM	1780	-0.427128397341592	15.0799999237
NA	engfin5602	en	fi	ad	NA	online-G.0	NA	SYSTEM	1283	0.446198685086987	9.10199999809
NA	engfin5602	en	fi	ad	NA	REFERENCE	NA	REF	2773	2.23254953550908	7.96399998665
